time,x,y,z
1669192213.805547, -91.093038, -45.887849, 0.813000
1669192214.806486, -91.379385, -45.079964, 0.806000
1669192215.805753, -91.746510, -44.281436, 0.796000
1669192216.806286, -92.197113, -43.572117, 0.831000
1669192217.803775, -92.768311, -42.856314, 0.824000
1669192218.804953, -93.386472, -42.210918, 0.799000
1669192219.803196, -94.043559, -41.638286, 0.792000
1669192220.805070, -94.551387, -41.092966, 0.845000
1669192221.805885, -95.103695, -40.383402, 0.849000
1669192222.803575, -95.590272, -39.705097, 0.909000
1669192223.806679, -96.005368, -38.965863, 0.951000
1669192224.805838, -96.393301, -38.159585, 0.994000
1669192225.806315, -96.768709, -37.311536, 0.967000
1669192226.803570, -97.056788, -36.597019, 0.963000
1669192227.806828, -97.333723, -35.913391, 1.014000
1669192228.807969, -97.621024, -35.179468, 0.998000
1669192229.807816, -97.842164, -34.451475, 1.058000
1669192230.805144, -98.127719, -33.641013, 0.994000
1669192231.805957, -98.441720, -32.999850, 1.013000
1669192232.805791, -98.724006, -32.252510, 1.003000
1669192233.804760, -98.989008, -31.491408, 0.974000
1669192234.805597, -99.243681, -30.791513, 0.950000
1669192235.804416, -99.473045, -30.089827, 0.951000
1669192236.807363, -99.718278, -29.397859, 1.011000
1669192237.808203, -100.004591, -28.632142, 1.004000
1669192238.803686, -100.191878, -27.874762, 0.992000
1669192239.804988, -100.189930, -27.098211, 0.983000
1669192240.805785, -100.060210, -26.328266, 0.965000
1669192241.805196, -99.803559, -25.605784, 0.926000
1669192242.805150, -99.380342, -24.904250, 0.863000
1669192243.807438, -98.956982, -24.273738, 0.805000
1669192244.802899, -98.379639, -23.780106, 0.740000
1669192245.806960, -97.664491, -23.415868, 0.686000
1669192246.807544, -96.950752, -23.214173, 0.646000
1669192247.806797, -96.207391, -23.100273, 0.625000
1669192248.805210, -95.471380, -22.872878, 0.605000
1669192249.808329, -94.779404, -22.552078, 0.567000
1669192250.808383, -94.102816, -22.194954, 0.577000
1669192251.808869, -93.387598, -21.844217, 0.544000
1669192252.808300, -92.703500, -21.599852, 0.526000
1669192253.805021, -91.933749, -21.323278, 0.515000
1669192254.807779, -91.217089, -21.072806, 0.522000
1669192255.807011, -90.457596, -20.818991, 0.526000
1669192256.806210, -89.712504, -20.594153, 0.520000
1669192257.806311, -88.980973, -20.401636, 0.480000
1669192258.806644, -88.256077, -20.362326, 0.491000
1669192259.806957, -87.461732, -20.390773, 0.437000
1669192260.806989, -86.705449, -20.476277, 0.429000
1669192261.805864, -85.948987, -20.560120, 0.439000
1669192262.805229, -85.150284, -20.622670, 0.423000
1669192263.807302, -84.393419, -20.717986, 0.412000
1669192264.809363, -83.734281, -21.054848, 0.377000
1669192265.807839, -83.285258, -21.557372, 0.386000
1669192266.806282, -83.045285, -22.365581, 0.345000
1669192267.809105, -83.181569, -23.099351, 0.299000
1669192268.806228, -83.577968, -23.692407, 0.299000
1669192269.807049, -84.209366, -24.110221, 0.270000
1669192270.805915, -84.910549, -24.330070, 0.275000
1669192271.802712, -85.628815, -24.569418, 0.309000
1669192272.803580, -86.369397, -24.801731, 0.310000
1669192273.809395, -87.095034, -25.017096, 0.358000
1669192274.805194, -87.807507, -25.241192, 0.374000
1669192275.807491, -88.497591, -25.591616, 0.396000
1669192276.809034, -89.048058, -26.079230, 0.423000
1669192277.806680, -89.560027, -26.695850, 0.432000
1669192278.805922, -89.812531, -27.420806, 0.438000
1669192279.806874, -89.853279, -28.183383, 0.446000
1669192280.805884, -89.641452, -28.966702, 0.405000
1669192281.807386, -89.366134, -29.631067, 0.395000
1669192282.807206, -88.960864, -30.279326, 0.399000
1669192283.806783, -88.481468, -30.904799, 0.365000
1669192284.807396, -87.984624, -31.471571, 0.365000
1669192285.808358, -87.500165, -32.089547, 0.375000
1669192286.807264, -87.053589, -32.727594, 0.364000
1669192287.808368, -86.615065, -33.328886, 0.379000
1669192288.813966, -86.399056, -34.041997, 0.353000
1669192289.806738, -86.419875, -34.767182, 0.420000
1669192290.808445, -86.660258, -35.500667, 0.447000
1669192291.808721, -86.986962, -36.191076, 0.495000
1669192292.807631, -87.397081, -36.869899, 0.516000
1669192293.809521, -87.850820, -37.466052, 0.515000
