time,x,y,z
1669186328.104425, 6.355379, -2.027467, -1.295748
1669186328.204573, 6.354814, -2.060747, -1.228747
1669186328.305435, 6.372194, -2.094332, -1.163746
1669186328.404453, 6.371254, -2.149799, -1.112746
1669186328.510415, 6.388257, -2.205571, -1.124744
1669186328.606411, 6.395912, -2.283378, -1.102743
1669186328.702405, 6.394408, -2.372126, -1.043742
1669186328.805408, 6.402439, -2.427745, -0.975741
1669186328.906400, 6.392339, -2.494154, -0.870741
1669186329.006398, 6.373455, -2.549317, -0.762741
1669186329.108530, 6.345788, -2.593235, -0.672742
1669186329.206393, 6.336064, -2.637457, -0.602742
1669186329.307457, 6.326152, -2.692772, -0.531741
1669186329.407446, 6.307268, -2.747936, -0.515741
1669186329.513386, 6.288572, -2.792006, -0.501742
1669186329.603642, 6.269688, -2.847169, -0.464742
1669186329.707602, 6.277908, -2.891695, -0.469741
1669186329.828384, 6.294911, -2.947467, -0.432740
1669186329.907437, 6.320886, -3.003391, -0.404738
1669186330.007199, 6.319946, -3.058858, -0.368738
1669186330.106372, 6.327789, -3.125571, -0.349737
1669186330.206371, 6.326661, -3.192132, -0.383736
1669186330.305363, 6.334504, -3.258845, -0.432735
1669186330.406361, 6.342348, -3.325558, -0.454734
1669186330.507422, 6.341031, -3.403213, -0.446733
1669186330.606361, 6.348875, -3.469926, -0.389732
1669186330.707989, 6.347558, -3.547580, -0.338731
1669186330.806351, 6.363997, -3.636633, -0.355730
1669186330.906344, 6.380248, -3.736778, -0.365728
1669186331.006346, 6.387716, -3.825678, -0.270727
1669186331.105343, 6.386587, -3.892239, -0.254726
1669186331.205587, 6.385647, -3.947707, -0.228726
1669186331.307549, 6.375735, -4.003022, -0.198725
1669186331.403549, 6.384331, -4.025362, -0.217725
1669186331.511190, 6.428626, -4.059402, -0.206723
1669186331.607393, 6.463949, -4.093291, -0.197721
1669186331.707720, 6.472356, -4.126724, -0.225720
1669186331.807109, 6.462632, -4.170946, -0.185720
1669186331.908437, 6.444124, -4.203922, -0.150721
1669186332.005317, 6.416833, -4.225653, -0.063721
1669186332.105313, 6.416457, -4.247840, 0.014279
1669186332.206309, 6.425241, -4.259085, 0.052279
1669186332.302305, 6.451780, -4.281729, 0.109280
1669186332.404344, 6.514018, -4.316074, 0.209283
1669186332.510302, 6.557749, -4.383395, 0.237285
1669186332.606299, 6.574000, -4.483541, 0.291287
1669186332.706295, 6.590627, -4.561500, 0.357289
1669186332.807358, 6.607630, -4.617271, 0.356290
1669186332.905489, 6.634170, -4.639915, 0.347291
1669186333.005301, 6.669869, -4.651617, 0.316292
1669186333.105636, 6.705756, -4.652225, 0.332294
1669186333.202286, 6.714163, -4.685658, 0.479294
1669186333.303353, 6.731731, -4.708149, 0.577295
1669186333.404455, 6.775462, -4.775470, 0.621298
1669186333.509280, 6.810032, -4.853733, 0.713300
1669186333.606274, 6.844791, -4.920902, 0.842302
1669186333.705273, 6.870390, -4.999013, 0.969303
1669186333.805272, 6.896365, -5.054937, 1.060305
1669186333.905276, 6.985707, -5.078645, 1.130308
1669186334.006260, 7.074861, -5.113446, 1.218312
1669186334.102266, 7.136159, -5.203259, 1.402315
1669186334.204288, 7.170918, -5.270428, 1.437317
1669186334.304726, 7.214648, -5.337750, 1.424320
1669186334.404263, 7.240623, -5.393674, 1.355321
1669186334.509984, 7.203796, -5.448533, 1.361320
1669186334.605534, 7.148837, -5.514181, 1.398319
1669186334.705253, 7.129765, -5.580438, 1.455319
1669186334.805422, 7.173872, -5.625572, 1.577321
1669186334.907468, 7.182091, -5.670099, 1.698322
1669186335.001247, 7.226762, -5.681952, 1.771324
1669186335.105245, 7.280781, -5.671772, 1.884326
1669186335.205232, 7.343584, -5.672836, 1.975328
1669186335.304272, 7.388254, -5.684690, 1.999330
1669186335.404369, 7.405446, -5.729368, 2.014331
1669186335.509229, 7.440393, -5.785444, 2.029333
1669186335.605227, 7.493471, -5.830731, 2.088335
1669186335.705142, 7.510287, -5.897596, 2.127336
1669186335.806219, 7.518130, -5.964309, 2.171337
1669186335.902223, 7.516437, -6.064150, 2.206338
1669186336.004250, 7.506149, -6.141653, 2.324339
1669186336.104647, 7.496049, -6.208062, 2.363339
1669186336.203273, 7.512488, -6.297114, 2.452341
1669186336.303535, 7.528927, -6.386166, 2.553342
1669186336.403427, 7.509667, -6.463517, 2.678343
1669186336.509401, 7.490972, -6.507586, 2.680342
1669186336.604208, 7.481248, -6.551808, 2.630342
1669186336.704260, 7.507599, -6.585545, 2.659344
1669186336.801197, 7.542546, -6.641621, 2.663346
1669186336.904317, 7.559361, -6.708486, 2.687347
1669186337.006191, 7.594120, -6.775656, 2.601349
1669186337.103714, 7.629067, -6.831731, 2.648351
1669186337.204216, 7.673173, -6.876866, 2.697353
1669186337.305180, 7.744760, -6.889176, 2.622356
1669186337.405173, 7.834102, -6.912884, 2.530359
1669186337.510188, 7.913719, -6.980814, 2.534363
1669186337.606171, 7.966610, -7.037194, 2.546365
1669186337.702183, 7.992397, -7.104211, 2.589367
1669186337.804166, 8.036128, -7.171533, 2.616369
1669186337.907233, 8.071263, -7.216515, 2.683371
1669186338.005311, 8.115557, -7.250556, 2.750373
1669186338.105163, 8.177608, -7.295994, 2.816376
1669186338.207378, 8.221714, -7.341129, 2.900378
1669186338.305169, 8.256849, -7.386111, 3.003380
1669186338.404163, 8.265069, -7.430637, 3.112380
1669186338.512306, 8.282072, -7.486409, 3.280382
1669186338.602159, 8.299076, -7.542181, 3.478383
1669186338.705297, 8.307295, -7.586707, 3.595384
1669186338.807413, 8.306543, -7.631081, 3.695384
1669186338.905152, 8.332894, -7.664818, 3.774385
1669186339.005145, 8.386161, -7.699011, 3.761388
1669186339.107198, 8.421296, -7.743993, 3.752389
1669186339.205135, 8.474374, -7.789280, 3.738392
1669186339.305130, 8.536237, -7.845812, 3.720395
1669186339.405126, 8.606695, -7.924683, 3.817398
1669186339.507361, 8.650237, -8.003098, 3.951401
1669186339.606123, 8.684996, -8.070267, 4.006403
